dep,dep_name,gender,year,n_orp
8,Atlántico,Female,2015,99.44666357394918
8,Atlántico,Female,2016,105.32892794566436
8,Atlántico,Female,2017,109.25392754749645
8,Atlántico,Female,2018,113.70999613293223
8,Atlántico,Female,2019,117.85129436916007
8,Atlántico,Female,2020,154.03301950650206
8,Atlántico,Female,2021,189.04958060532883
8,Atlántico,Male,2015,260.688219253098
8,Atlántico,Male,2016,256.2955619475657
8,Atlántico,Male,2017,272.69663466734744
8,Atlántico,Male,2018,281.9183064746532
8,Atlántico,Male,2019,274.4421200108022
8,Atlántico,Male,2020,401.2335838213059
8,Atlántico,Male,2021,513.3055068334561
13,Bolívar,Female,2015,75.09777792476186
13,Bolívar,Female,2016,72.58965386952617
13,Bolívar,Female,2017,88.96973663186498
13,Bolívar,Female,2018,88.18723093203577
13,Bolívar,Female,2019,100.04496655012797
13,Bolívar,Female,2020,121.86094570263788
13,Bolívar,Female,2021,132.69394028619914
13,Bolívar,Male,2015,183.2447845643466
13,Bolívar,Male,2016,189.64439874571016
13,Bolívar,Male,2017,221.23065101662309
13,Bolívar,Male,2018,227.96479805831552
13,Bolívar,Male,2019,216.68275682076498
13,Bolívar,Male,2020,305.7271215796166
13,Bolívar,Male,2021,360.52693209835235
20,Cesar,Female,2015,91.5114315020385
20,Cesar,Female,2016,91.81171294537555
20,Cesar,Female,2017,84.43126022299224
20,Cesar,Female,2018,112.26107844625565
20,Cesar,Female,2019,107.69283815865131
20,Cesar,Female,2020,124.0236818218391
20,Cesar,Female,2021,163.24754646450307
20,Cesar,Male,2015,238.54665290419027
20,Cesar,Male,2016,224.91305098629707
20,Cesar,Male,2017,237.43093783920241
20,Cesar,Male,2018,270.95742115891704
20,Cesar,Male,2019,251.28328903685306
20,Cesar,Male,2020,322.6137490334956
20,Cesar,Male,2021,434.9056152715322
23,Córdoba,Female,2015,78.79746947354907
23,Córdoba,Female,2016,71.37417294089121
23,Córdoba,Female,2017,81.35060628082189
23,Córdoba,Female,2018,87.79185915844674
23,Córdoba,Female,2019,84.38685277950694
23,Córdoba,Female,2020,113.72834913453214
23,Córdoba,Female,2021,123.7640481031913
23,Córdoba,Male,2015,170.41811204538797
23,Córdoba,Male,2016,178.05779122555666
23,Córdoba,Male,2017,201.07414005259753
23,Córdoba,Male,2018,227.47846173055314
23,Córdoba,Male,2019,242.0674509308861
23,Córdoba,Male,2020,305.35558519838094
23,Córdoba,Male,2021,353.02514550164017
44,La Guajira,Female,2015,61.246968502871454
44,La Guajira,Female,2016,67.0948739983068
44,La Guajira,Female,2017,57.98888449090023
44,La Guajira,Female,2018,91.2387206500685
44,La Guajira,Female,2019,103.83290242478765
44,La Guajira,Female,2020,103.22090255651689
44,La Guajira,Female,2021,144.69963063483695
44,La Guajira,Male,2015,159.00075074390767
44,La Guajira,Male,2016,177.3221669955251
44,La Guajira,Male,2017,170.100727839974
44,La Guajira,Male,2018,188.9734019936694
44,La Guajira,Male,2019,196.64443531845257
44,La Guajira,Male,2020,261.0881652900133
44,La Guajira,Male,2021,322.11886585766825
47,Magdalena,Female,2015,76.13453006161289
47,Magdalena,Female,2016,88.28435043409009
47,Magdalena,Female,2017,84.72125080949834
47,Magdalena,Female,2018,98.30408427361682
47,Magdalena,Female,2019,104.70585694941688
47,Magdalena,Female,2020,129.81243367866776
47,Magdalena,Female,2021,164.0876504554222
47,Magdalena,Male,2015,199.46356413802675
47,Magdalena,Male,2016,192.92595361358266
47,Magdalena,Male,2017,190.1721693702569
47,Magdalena,Male,2018,220.90040184348535
47,Magdalena,Male,2019,226.0642793831637
47,Magdalena,Male,2020,314.1870111101906
47,Magdalena,Male,2021,423.73771097721243
70,Sucre,Female,2015,70.12707805261111
70,Sucre,Female,2016,84.72508093102564
70,Sucre,Female,2017,93.38454331790632
70,Sucre,Female,2018,87.75951040182083
70,Sucre,Female,2019,91.24185474163366
70,Sucre,Female,2020,108.77918380534638
70,Sucre,Female,2021,130.43480634257583
70,Sucre,Male,2015,195.0300329920876
70,Sucre,Male,2016,196.87155735010106
70,Sucre,Male,2017,209.7614931345396
70,Sucre,Male,2018,237.59282084395394
70,Sucre,Male,2019,226.3085373512961
70,Sucre,Male,2020,265.9849809991194
70,Sucre,Male,2021,356.2295131204802
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Female,2015,96.19002777070699
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Female,2016,79.38861053391507
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Female,2017,75.90633223282242
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Female,2018,48.03843074459568
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Female,2019,63.08716141227503
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Female,2020,188.77917831155077
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Female,2021,279.1246018772339
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Male,2015,267.9579345041123
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Male,2016,303.1201493113121
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Male,2017,387.12229438739433
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Male,2018,408.32666132906326
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Male,2019,465.26781541552833
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Male,2020,620.2744430236668
88,"Archipelago de San Andrés, Providencia y Santa Catalina",Male,2021,725.7239648808081
5,Antioquia,Female,2015,93.28631617516047
5,Antioquia,Female,2016,95.75086715575378
5,Antioquia,Female,2017,92.1111573996052
5,Antioquia,Female,2018,99.60342450598267
5,Antioquia,Female,2019,95.45439561947181
5,Antioquia,Female,2020,112.08478491015876
5,Antioquia,Female,2021,155.6627559604821
5,Antioquia,Male,2015,274.5283018869008
5,Antioquia,Male,2016,286.9925855347271
5,Antioquia,Male,2017,289.3021911106734
5,Antioquia,Male,2018,327.94921110411383
5,Antioquia,Male,2019,310.3312978752755
5,Antioquia,Male,2020,341.41426810229945
5,Antioquia,Male,2021,480.4214692018861
17,Caldas,Female,2015,96.2401571927291
17,Caldas,Female,2016,94.08631327894702
17,Caldas,Female,2017,99.39086940889975
17,Caldas,Female,2018,103.13339011776172
17,Caldas,Female,2019,101.15966201788008
17,Caldas,Female,2020,87.95711861963558
17,Caldas,Female,2021,125.65580140880496
17,Caldas,Male,2015,272.6804453793991
17,Caldas,Male,2016,270.3882367595907
17,Caldas,Male,2017,253.44671699269435
17,Caldas,Male,2018,280.5971514915679
17,Caldas,Male,2019,260.0566783006823
17,Caldas,Male,2020,271.73344467406974
17,Caldas,Male,2021,424.08832975471677
63,Quindío,Female,2015,103.49516861774819
63,Quindío,Female,2016,119.41939854059224
63,Quindío,Female,2017,110.36132576969254
63,Quindío,Female,2018,116.1988135489564
63,Quindío,Female,2019,110.23971601442955
63,Quindío,Female,2020,125.70790378894375
63,Quindío,Female,2021,171.4572870253132
63,Quindío,Male,2015,395.94742539365785
63,Quindío,Male,2016,400.5017923844352
63,Quindío,Male,2017,352.145299020851
63,Quindío,Male,2018,373.05934876243896
63,Quindío,Male,2019,357.1402370054247
63,Quindío,Male,2020,417.76611635122663
63,Quindío,Male,2021,524.1694203345289
66,Risaralda,Female,2015,108.49666246072677
66,Risaralda,Female,2016,127.2110115487706
66,Risaralda,Female,2017,108.27046785054377
66,Risaralda,Female,2018,134.10596845788032
66,Risaralda,Female,2019,120.55947612580903
66,Risaralda,Female,2020,144.81070157371428
66,Risaralda,Female,2021,168.82732547622626
66,Risaralda,Male,2015,353.8521854528267
66,Risaralda,Male,2016,369.09764299734536
66,Risaralda,Male,2017,366.96981581202004
66,Risaralda,Male,2018,336.50206107512406
66,Risaralda,Male,2019,344.30969029150543
66,Risaralda,Male,2020,388.45206444043794
66,Risaralda,Male,2021,532.2445877838172
19,Cauca,Female,2015,77.75278055741175
19,Cauca,Female,2016,75.04643196721025
19,Cauca,Female,2017,73.75042646809928
19,Cauca,Female,2018,82.29943931988093
19,Cauca,Female,2019,84.61942818050919
19,Cauca,Female,2020,95.87938098391882
19,Cauca,Female,2021,106.74492317141456
19,Cauca,Male,2015,228.32165719239958
19,Cauca,Male,2016,232.31096858109112
19,Cauca,Male,2017,223.8481254066957
19,Cauca,Male,2018,261.4998313873636
19,Cauca,Male,2019,288.4630347239722
19,Cauca,Male,2020,301.3744439523179
19,Cauca,Male,2021,381.63422400334224
27,Chocó,Female,2015,55.6669379505904
27,Chocó,Female,2016,64.60677305872089
27,Chocó,Female,2017,65.52252925723842
27,Chocó,Female,2018,59.296955012260256
27,Chocó,Female,2019,60.58116940059441
27,Chocó,Female,2020,69.10613788214432
27,Chocó,Female,2021,106.76770964875958
27,Chocó,Male,2015,147.00395264621932
27,Chocó,Male,2016,145.09148186916133
27,Chocó,Male,2017,141.41945898020626
27,Chocó,Male,2018,143.6183130572175
27,Chocó,Male,2019,176.33447521958732
27,Chocó,Male,2020,218.5682500458518
27,Chocó,Male,2021,245.0923778143939
52,Nariño,Female,2015,66.35396202427296
52,Nariño,Female,2016,77.28660644331262
52,Nariño,Female,2017,79.41873960130926
52,Nariño,Female,2018,93.2808443655748
52,Nariño,Female,2019,94.74179263943131
52,Nariño,Female,2020,111.27559523894904
52,Nariño,Female,2021,153.30169554514748
52,Nariño,Male,2015,190.82185157307256
52,Nariño,Male,2016,214.51987557663054
52,Nariño,Male,2017,224.3321540686333
52,Nariño,Male,2018,297.85353186471724
52,Nariño,Male,2019,285.34990958167
52,Nariño,Male,2020,352.372718256672
52,Nariño,Male,2021,447.18166655983305
76,Valle del Cauca,Female,2015,120.66328201574744
76,Valle del Cauca,Female,2016,123.70371498913416
76,Valle del Cauca,Female,2017,121.0691998528127
76,Valle del Cauca,Female,2018,133.1219865420957
76,Valle del Cauca,Female,2019,135.9456614042803
76,Valle del Cauca,Female,2020,159.2794771726948
76,Valle del Cauca,Female,2021,206.79807596271274
76,Valle del Cauca,Male,2015,385.1753499505135
76,Valle del Cauca,Male,2016,383.1847912608002
76,Valle del Cauca,Male,2017,358.7471553533345
76,Valle del Cauca,Male,2018,408.7485208668162
76,Valle del Cauca,Male,2019,436.6322255735787
76,Valle del Cauca,Male,2020,504.1626101521094
76,Valle del Cauca,Male,2021,679.4070284996656
11,Bogotá,Female,2015,94.84976668058633
11,Bogotá,Female,2016,95.54977980457835
11,Bogotá,Female,2017,90.08429870871946
11,Bogotá,Female,2018,95.39938593498708
11,Bogotá,Female,2019,100.58505707381842
11,Bogotá,Female,2020,118.68849358686663
11,Bogotá,Female,2021,159.8095792552946
11,Bogotá,Male,2015,225.53927672784428
11,Bogotá,Male,2016,228.81811210065285
11,Bogotá,Male,2017,211.44786780241097
11,Bogotá,Male,2018,226.19279691992787
11,Bogotá,Male,2019,231.644768985987
11,Bogotá,Male,2020,310.8905966287281
11,Bogotá,Male,2021,446.41134797901515
15,Boyacá,Female,2015,84.92409202233137
15,Boyacá,Female,2016,88.76350624601723
15,Boyacá,Female,2017,85.91800330305404
15,Boyacá,Female,2018,86.2756789691187
15,Boyacá,Female,2019,76.69135014533059
15,Boyacá,Female,2020,91.07602670824606
15,Boyacá,Female,2021,129.9275417559218
15,Boyacá,Male,2015,215.93327152435793
15,Boyacá,Male,2016,238.79475249349417
15,Boyacá,Male,2017,204.92809975110063
15,Boyacá,Male,2018,226.9909930073123
15,Boyacá,Male,2019,223.8202493511794
15,Boyacá,Male,2020,285.84910255247263
15,Boyacá,Male,2021,417.82709466316925
25,Cundinamarca,Female,2015,68.21340692586847
25,Cundinamarca,Female,2016,72.53718843249494
25,Cundinamarca,Female,2017,74.4893151154113
25,Cundinamarca,Female,2018,71.39692015624576
25,Cundinamarca,Female,2019,72.8371732072442
25,Cundinamarca,Female,2020,86.861202528237
25,Cundinamarca,Female,2021,126.40142881191694
25,Cundinamarca,Male,2015,183.14656236888837
25,Cundinamarca,Male,2016,185.00911056880028
25,Cundinamarca,Male,2017,180.69581210858607
25,Cundinamarca,Male,2018,167.32048015033854
25,Cundinamarca,Male,2019,173.58640184062213
25,Cundinamarca,Male,2020,217.81911983691333
25,Cundinamarca,Male,2021,344.8427329723171
41,Huila,Female,2015,117.73569117391342
41,Huila,Female,2016,125.83764199802069
41,Huila,Female,2017,121.76745407113475
41,Huila,Female,2018,122.34609853665098
41,Huila,Female,2019,117.72381570690656
41,Huila,Female,2020,151.53887911429302
41,Huila,Female,2021,194.030340256822
41,Huila,Male,2015,296.5860922701636
41,Huila,Male,2016,320.2583297565198
41,Huila,Male,2017,285.1674824133773
41,Huila,Male,2018,291.45274782291204
41,Huila,Male,2019,308.9020456710473
41,Huila,Male,2020,376.99916267458264
41,Huila,Male,2021,526.9491833973017
54,Norte de Santander,Female,2015,86.80872822883725
54,Norte de Santander,Female,2016,85.21690786691411
54,Norte de Santander,Female,2017,108.06096472159084
54,Norte de Santander,Female,2018,104.21193641531227
54,Norte de Santander,Female,2019,116.82105154722719
54,Norte de Santander,Female,2020,143.84722098029403
54,Norte de Santander,Female,2021,165.58211269334672
54,Norte de Santander,Male,2015,278.1769890582348
54,Norte de Santander,Male,2016,319.74759090121665
54,Norte de Santander,Male,2017,300.8317891444747
54,Norte de Santander,Male,2018,331.9715179302237
54,Norte de Santander,Male,2019,348.4576430271369
54,Norte de Santander,Male,2020,470.51631104962485
54,Norte de Santander,Male,2021,526.0708038394725
68,Santander,Female,2015,98.92455282766551
68,Santander,Female,2016,87.20300351032844
68,Santander,Female,2017,88.96592538694097
68,Santander,Female,2018,92.13334084052711
68,Santander,Female,2019,101.5478077363502
68,Santander,Female,2020,121.88054132856686
68,Santander,Female,2021,174.32625122876692
68,Santander,Male,2015,227.57956160353817
68,Santander,Male,2016,229.71865594146442
68,Santander,Male,2017,228.37644764276598
68,Santander,Male,2018,241.21524275177373
68,Santander,Male,2019,254.91738602483406
68,Santander,Male,2020,330.1500103508219
68,Santander,Male,2021,534.1356337649419
73,Tolima,Female,2015,112.99842742475299
73,Tolima,Female,2016,111.25519290874787
73,Tolima,Female,2017,111.44239869583264
73,Tolima,Female,2018,113.12859513570481
73,Tolima,Female,2019,120.3963518699954
73,Tolima,Female,2020,126.78595413321375
73,Tolima,Female,2021,170.29057222806713
73,Tolima,Male,2015,307.83264641371557
73,Tolima,Male,2016,326.4976515513003
73,Tolima,Male,2017,295.6399385091519
73,Tolima,Male,2018,323.5656916282428
73,Tolima,Male,2019,313.2162161759263
73,Tolima,Male,2020,358.3643805602062
73,Tolima,Male,2021,518.5665755471592
50,Meta,Female,2015,144.43819925260078
50,Meta,Female,2016,125.03034537040686
50,Meta,Female,2017,123.19657837768528
50,Meta,Female,2018,122.7892975263898
50,Meta,Female,2019,124.22063932831304
50,Meta,Female,2020,140.04575355310575
50,Meta,Female,2021,191.2545453484275
50,Meta,Male,2015,375.68339606100403
50,Meta,Male,2016,358.8767261928681
50,Meta,Male,2017,310.15278942452346
50,Meta,Male,2018,304.2725994422269
50,Meta,Male,2019,307.49108981559226
50,Meta,Male,2020,380.2780846480487
50,Meta,Male,2021,489.3229499857881
81,Arauca,Female,2015,214.1825514691421
81,Arauca,Female,2016,157.18263058173605
81,Arauca,Female,2017,133.6995113280596
81,Arauca,Female,2018,189.76398104857083
81,Arauca,Female,2019,199.963016903946
81,Arauca,Female,2020,201.9356380335071
81,Arauca,Female,2021,174.04489249899405
81,Arauca,Male,2015,511.94853765794943
81,Arauca,Male,2016,441.91510073389725
81,Arauca,Male,2017,401.0985339841788
81,Arauca,Male,2018,466.9192691589835
81,Arauca,Male,2019,486.49538868703934
81,Arauca,Male,2020,426.8459893762156
81,Arauca,Male,2021,550.5501701498791
85,Casanare,Female,2015,91.11059739485297
85,Casanare,Female,2016,111.23756708304344
85,Casanare,Female,2017,100.32841176297559
85,Casanare,Female,2018,98.43391711819807
85,Casanare,Female,2019,128.8957646081641
85,Casanare,Female,2020,118.48563981729943
85,Casanare,Female,2021,177.44386241294566
85,Casanare,Male,2015,242.14077686019485
85,Casanare,Male,2016,268.27883825910476
85,Casanare,Male,2017,253.67590291288948
85,Casanare,Male,2018,248.11855141363975
85,Casanare,Male,2019,265.89818107847685
85,Casanare,Male,2020,294.1990376415938
85,Casanare,Male,2021,527.4701115562905
99,Vichada,Female,2015,104.84878162664546
99,Vichada,Female,2016,34.46058825607398
99,Vichada,Female,2017,147.22792002100618
99,Vichada,Female,2018,89.37548877220422
99,Vichada,Female,2019,110.22741724870724
99,Vichada,Female,2020,239.22397087801474
99,Vichada,Female,2021,128.78010844158058
99,Vichada,Male,2015,326.1962095051192
99,Vichada,Male,2016,264.1978432965672
99,Vichada,Male,2017,396.38286159501666
99,Vichada,Male,2018,346.33001899229134
99,Vichada,Male,2019,407.84144382021674
99,Vichada,Male,2020,402.3312237493884
99,Vichada,Male,2021,407.80367673167183
18,Caquetá,Female,2015,127.62449585291229
18,Caquetá,Female,2016,130.21628535874163
18,Caquetá,Female,2017,123.53539532962971
18,Caquetá,Female,2018,118.45679390560218
18,Caquetá,Female,2019,121.53845691208836
18,Caquetá,Female,2020,141.38750436917607
18,Caquetá,Female,2021,168.41154033807317
18,Caquetá,Male,2015,346.85675866773096
18,Caquetá,Male,2016,336.6567377567467
18,Caquetá,Male,2017,355.36480604562314
18,Caquetá,Male,2018,373.34313665420825
18,Caquetá,Male,2019,361.3082018406981
18,Caquetá,Male,2020,467.08371979102805
18,Caquetá,Male,2021,493.14353606687064
86,Putumayo,Female,2015,97.77809240380263
86,Putumayo,Female,2016,103.50264518314843
86,Putumayo,Female,2017,183.60034100163173
86,Putumayo,Female,2018,99.53936570127601
86,Putumayo,Female,2019,110.73484927746644
86,Putumayo,Female,2020,125.51563812580092
86,Putumayo,Female,2021,172.95333047844952
86,Putumayo,Male,2015,276.6911976533138
86,Putumayo,Male,2016,278.09801635068163
86,Putumayo,Male,2017,331.52975860866076
86,Putumayo,Male,2018,342.034203420342
86,Putumayo,Male,2019,308.7798681775506
86,Putumayo,Male,2020,402.29371194166964
86,Putumayo,Male,2021,509.53915326585127
91,Amazonas,Female,2015,149.29147098739617
91,Amazonas,Female,2016,63.82895134331027
91,Amazonas,Female,2017,111.78298232231664
91,Amazonas,Female,2018,48.033046736154475
91,Amazonas,Female,2019,123.44262133026567
91,Amazonas,Female,2020,248.83705670923672
91,Amazonas,Female,2021,255.30238553757542
91,Amazonas,Male,2015,432.94526586344887
91,Amazonas,Male,2016,309.3249180483498
91,Amazonas,Male,2017,252.7267426417594
91,Amazonas,Male,2018,211.3454056390797
91,Amazonas,Male,2019,394.06682963123274
91,Amazonas,Male,2020,582.18481192349725
91,Amazonas,Male,2021,608.0838637349524
94,Guainía,Female,2015,201.92867991890606
94,Guainía,Female,2016,135.21449425941697
94,Guainía,Female,2017,138.46907889513147
94,Guainía,Female,2018,110.062893081761
94,Guainía,Female,2019,144.34519182354717
94,Guainía,Female,2020,191.07883705591277
94,Guainía,Female,2021,163.702933414057
94,Guainía,Male,2015,158.0311408061004
94,Guainía,Male,2016,304.2326120836882
94,Guainía,Male,2017,195.48575844018563
94,Guainía,Male,2018,330.188679245283
94,Guainía,Male,2019,212.71923005575374
94,Guainía,Male,2020,308.66581370570526
94,Guainía,Male,2021,163.702933414057
95,Guaviare,Female,2015,152.65419920770213
95,Guaviare,Female,2016,129.92973222134083
95,Guaviare,Female,2017,89.12486760741606
95,Guaviare,Female,2018,131.5002988643156
95,Guaviare,Female,2019,144.32027148619545
95,Guaviare,Female,2020,127.0588768246503
95,Guaviare,Female,2021,145.7200386704082
95,Guaviare,Male,2015,358.15023660268577
95,Guaviare,Male,2016,377.9774028257188
95,Guaviare,Male,2017,433.7410223560915
95,Guaviare,Male,2018,406.4554692169755
95,Guaviare,Male,2019,426.9474698133282
95,Guaviare,Male,2020,363.0253623561437
95,Guaviare,Male,2021,510.02013534642873
97,Vaupés,Female,2015,187.76451658728456
97,Vaupés,Female,2016,139.63910324216184
97,Vaupés,Female,2017,87.67611157792196
97,Vaupés,Female,2018,53.842012152911316
97,Vaupés,Female,2019,73.82076950088518
97,Vaupés,Female,2020,143.76326539827684
97,Vaupés,Female,2021,124.46672742547723
97,Vaupés,Male,2015,170.6950150793496
97,Vaupés,Male,2016,188.92349262174835
97,Vaupés,Male,2017,95.64666717591486
97,Vaupés,Male,2018,223.05976463348972
97,Vaupés,Male,2019,103.34907730123925
97,Vaupés,Male,2020,208.45673482750144
97,Vaupés,Male,2021,221.2741820897373
